rating,text,type,probs,preds
3,normal mcdonalds it was what you would expect,Restaurant,"[0.547818124294281, 0.452181875705719]",mixed
2,overprice chinese food,Sushi restaurant,"[0.9902483820915222, 0.009751670062541962]",negative
2,virtually tasteless fare tostados werent very good at all,Restaurant,"[0.9991112351417542, 0.0008887299918569624]",negative
2,  something for the family  original algo para la familia,Takeout Restaurant,"[0.028517626225948334, 0.9714823365211487]",positive
3,its just soso service is decent but the food could be improved upon decent beer selection for your local restaurant,Restaurant,"[0.9431312084197998, 0.0568687878549099]",negative
4,good deals on tuesday nice food decent drinks,Restaurant,"[0.011472469195723534, 0.9885275363922119]",positive
4,good food good prices busy at night,Fast food restaurant,"[0.007716072723269463, 0.9922839999198914]",positive
4,good bbq well smoked brisket pulled pork and wings could use more veggie options,Restaurant,"[0.004645072389394045, 0.9953548908233643]",positive
3,twice we tried the wings  both times very bad,Pizza restaurant,"[0.9995444416999817, 0.000455577508546412]",negative
3,good better then down south,Restaurant,"[0.015264052897691727, 0.9847359657287598]",positive
2,bathrooms were horrible food was good but selection was not that great,Chinese restaurant,"[0.8739765882492065, 0.12602342665195465]",negative
3,depends on the day,Restaurant,"[0.8239507675170898, 0.17604923248291016]",negative
4,tons of things to choose from beer price a lil high though 5 for a btl of bud light,Takeout Restaurant,"[0.010340363718569279, 0.9896596074104309]",positive
3,there are so many custard places in milwaukee and unfortunately oscars wasnt the cream of the crop for me however oscars was still solid decently prices and smooth and creamy custard but there werent many flavor options in just about every case i would instead go to the kopps on 76th or stop by culvers on 108th,Restaurant,"[0.981759786605835, 0.01824028789997101]",negative
4,pretty good food service is really good,Restaurant,"[0.02731497772037983, 0.9726850390434265]",positive
4,order their calzone you will thank me later,Pizza restaurant,"[0.8344602584838867, 0.16553975641727448]",negative
4,always a good burger 6 a beer is kind of steep for a superior bar tho,Restaurant,"[0.004863293841481209, 0.9951366782188416]",positive
4,love the food here,Delivery Restaurant,"[0.005053163506090641, 0.9949468970298767]",positive
3,new menu no lunch specials anymore on wings at a wing joint shame,Restaurant,"[0.15932202339172363, 0.8406780362129211]",positive
4,cobb salad the new process for the drive thru is nice super fast,Family restaurant,"[0.04952065646648407, 0.95047926902771]",positive
2,i have been to bdubs in brighton and flint and have always ordered the honey bbq chicken salad and it is always awesome  tonight in grand blanc it was so spicy it was hard to eat  had to down two large glasses of water to cool my mouth off  wont be back to this one anyway,Restaurant,"[0.9987367987632751, 0.0012632356956601143]",negative
2,it was just ok nothing special food was greasy but the service was good,Restaurant,"[0.9723154902458191, 0.027684560045599937]",negative
3,good burgers nice people,Hamburger restaurant,"[0.09196247905492783, 0.908037543296814]",positive
3,beautiful scenery,Restaurant,"[0.06820160150527954, 0.9317983984947205]",positive
4,friendlyfast service bit expensive,Family restaurant,"[0.11439812928438187, 0.8856018781661987]",positive
2,12 pound boneless chicken wings got served to me with no fork no napkins but drowning in sauce when i asked nicely about napkins she treated me like i was the one being rude saucy boneless chicken wings equals napkins wet wipes forks just for future reference,Delivery Restaurant,"[0.9922512173652649, 0.007748747244477272]",negative
3,love the coffee and bagels hate the wait im guessing because we dont really have any good coffee places in lapeer the wait is always long but its worth it if you have a couple minutes to spare,Restaurant,"[0.009608414024114609, 0.9903916120529175]",positive
3,expensive my daughter had a 4 inch chicken sub kids meal and it literally had 6 tiny pieces of chicken on it that and fries and small drink for 6 bucks,Takeout Restaurant,"[0.9972493052482605, 0.0027506272308528423]",negative
2,cool place to hang out butt charging 11 per hour and sports bar 4  billard is ridiculous,American restaurant,"[0.9179301857948303, 0.08206984400749207]",negative
3,pizza sauce is too sweet for my liking but the craft beer selection is decent to my knowledge its the only lunchtime pizza buffet in town since god fathers closed down years ago staff is always friendly and seeing old school wrestling on one of the tvs takes me back to being a kid good whiskey selection but no scotch,Pizza restaurant,"[0.9046036601066589, 0.09539628028869629]",negative
2,chicken was drybrisket was dry maybe it was a bad day,Restaurant,"[0.9981358051300049, 0.0018641984788700938]",negative
2,food was average and over priced service was not good either,Restaurant,"[0.9976562261581421, 0.0023436984047293663]",negative
2,the weiner dogs were small and had way too much bread  the prices seemed high for a small hot dog  the beer is ok  better places to go in the gr area,Restaurant,"[0.9938150644302368, 0.006184992380440235]",negative
3,great for snacks or large orders staff was friendly and helpful food is good,Seafood restaurant,"[0.00826756190508604, 0.9917323589324951]",positive
4,the bar area is bright and open good hamburger nice beers on tap,Fine dining restaurant,"[0.03787839785218239, 0.9621215462684631]",positive
4,thanks al,Restaurant,"[0.3471643924713135, 0.6528356075286865]",mixed
4,very very nice upscale placeprices are crazy when your use to a whole meal costing 25 here that just pays for a steak with no sides,Seafood restaurant,"[0.0032362984493374825, 0.9967637062072754]",positive
4,much slower to get food than i remember cost goes up service goes downsmh,Hot dog restaurant,"[0.9694669842720032, 0.030533036217093468]",negative
2,very slowwe were the 3rd car in line short staffed i suppose ,Restaurant,"[0.9968370199203491, 0.0031628983560949564]",negative
2,always misses up order,Takeout Restaurant,"[0.9734119176864624, 0.026588112115859985]",negative
2,this place is either closed when its supposed to be open or something i dont got her often but when in around the area i go but when i do its closedi dont know restaurants are not what they used to be,Restaurant,"[0.9460946917533875, 0.05390527844429016]",negative
4,good foodvery busy but very fast service,Restaurant,"[0.012966047041118145, 0.9870339632034302]",positive
2,so they only take online orders but no one tells you that its a mess there is no easy way to place an order online which is ok but nowadays people seem to have those qr codes and even a sign indicating that orders need to be placed online would really help what a mess,Fast food restaurant,"[0.9962862730026245, 0.003713734447956085]",negative
4,good food and sometimes slow help,Barbecue restaurant,"[0.02599051408469677, 0.9740095138549805]",positive
3,i like their salmon and zucchini the ribs are ok the steaks are very average its a decent place to eat but not great the seafood new orleans is pretty good too,Restaurant,"[0.8093811869621277, 0.19061879813671112]",negative
2,they screw up orders so often you might as well order anything you might get what you want otherwise they are seldom accurate,Family restaurant,"[0.9980058073997498, 0.0019941963255405426]",negative
3,so far so good its a small place so parking on a busy day you will not find but the food has been good and they havent gotten my order wrong so,Seafood restaurant,"[0.004888232331722975, 0.9951117634773254]",positive
2,we did not eat here the girl hosting told us 30 minutes and then told us to go sit in our car very rude,Traditional American restaurant,"[0.9980047345161438, 0.001995295751839876]",negative
3,just an average buffet but i do like the atmosphere,Asian restaurant,"[0.8102224469184875, 0.18977753818035126]",negative
4,great sushi in bloomfield hills small cozy place serving up fresh delish sushi also great customer service,Japanese restaurant,"[0.004722874611616135, 0.9952771663665771]",positive
3,a typical family restaurant,Brunch restaurant,"[0.8657100200653076, 0.13428997993469238]",negative
2,hours say 8am 4am but they are never open at 8,Mediterranean restaurant,"[0.9932621121406555, 0.0067378501407802105]",negative
4,their food is great best barbecue in town,Barbecue restaurant,"[0.017027350142598152, 0.9829726219177246]",positive
3,food was good but waitress took my shake away when i wasnt done,Family restaurant,"[0.43734249472618103, 0.5626575350761414]",mixed
3,i dont know not near as good as it was it was good but different taste,Restaurant,"[0.7865902185440063, 0.21340979635715485]",mixed
4,good selection of pizza  no sprinkles for ice cream and ranch is not hidden valley,Restaurant,"[0.37846100330352783, 0.6215389370918274]",mixed
2,this place used to be great the bartender was awesome but once we hit the table the service was pathetic poor management here wont be going back,Traditional American restaurant,"[0.9993983507156372, 0.0006016896804794669]",negative
4,nice service in the back room,Restaurant,"[0.07828844338655472, 0.9217115044593811]",positive
2,very restricted menu their digital menu allows them to change menu items based on what they can make quickly or what they can sell,Restaurant,"[0.9596651792526245, 0.04033484309911728]",negative
2,lines are long,Restaurant,"[0.8852152824401855, 0.11478473991155624]",negative
4,always good,Restaurant,"[0.02363574504852295, 0.9763641953468323]",positive
2,this downtown area died along time ago because someone had been taught to hate so your nasty ways toward human mankind of all has cost you dearly,Mexican restaurant,"[0.5894027948379517, 0.41059720516204834]",mixed
2,not a great experience service was horrible waitress did not pre buss anything not helpful the new orleans pasta wasnt fresh noodles over cooked and flat and the worst part was the chicken in the pasta was old and dried up i was really disappointed in the quality and service  just to be fair this is not a slam but my experience your very well may be different and i surely hope that it is  i have to say though i have been here a couple of other times and the quality was just not there,Southern restaurant (US),"[0.9996423721313477, 0.00035759375896304846]",negative
3,prices are ridiculous,Breakfast restaurant,"[0.9510350227355957, 0.04896504059433937]",negative
3,i wasnt impressed had steak rancheros medium rare it was pretty bland well done rubbery and no spice nice staff,Mexican restaurant,"[0.9996579885482788, 0.00034196919295936823]",negative
3,  american chinese food you cant eat it you can try it the waiters inside are all dream of the red mansion  original 美式中餐 实在没吃的可以去试试里面的几个服务员都是以前红楼梦的,American restaurant,"[0.33920609951019287, 0.6607939004898071]",mixed
3,a decent station with a lot of selections inside for convenience  i have had decent service a couple times but for the most part its been subpar even for an empty gas station,Restaurant,"[0.9220823049545288, 0.07791772484779358]",negative
4,lunch buffet was pretty good,Vegetarian restaurant,"[0.08787695318460464, 0.9121230840682983]",positive
2,was satisfied previously but not today took almost an hr to get our food was very little sauce on wings,Restaurant,"[0.9987130165100098, 0.0012869923375546932]",negative
4,good shrimp,Restaurant,"[0.015063285827636719, 0.9849366545677185]",positive
3,normally love this place but today the fries were overcooked and hard and the waitress was nonexistent,Restaurant,"[0.9983506202697754, 0.0016494375886395574]",negative
2,too slow and the foods never hot,Restaurant,"[0.9993904829025269, 0.0006095294957049191]",negative
3,beautiful place but was running out of everything on a pretty expensive brunch buffet short staff also took twenty minutes to get a omelette made,Traditional American restaurant,"[0.8231977224349976, 0.17680229246616364]",negative
3,meh,Restaurant,"[0.9492588639259338, 0.05074121057987213]",negative
4,pizza is okay but buffet has more than just pizza great salad bar and drink selection,Restaurant,"[0.022435374557971954, 0.9775646328926086]",positive
3,service was good food was horrible tasted frozen and refried worst chinese food experience but the customer service was good,Delivery Restaurant,"[0.9965695142745972, 0.003430456155911088]",negative
4,good beef sandwich,Hot dog restaurant,"[0.06709212809801102, 0.9329078793525696]",positive
2,the food was good  but how did my order jump from 800 to over 1300   trump aint charging that much in taxes  i started off with a simple omelet,Soul food restaurant,"[0.45769691467285156, 0.5423030853271484]",mixed
2,after covid19 review in short expensive  worst quality food this place is now horrible they replaced the parking lot with chairs to keep social distancing which is awesome but the main part food taste really bad the chicken biriyani has no taste at all and its really expensive the kharai chicken doesnt have any taste also the only one that i liked is their kheer but all items are costly with dull taste dont go there people who loved that place this was my food place whenever i am in chicago from now on its not plus the older people are missing on service  old review awesome place to eat asian subcontinent food i liked mostly chicken chagra and matka ghost there payesh was also awesome everyone should try these few foods there is a very small parking place in here which is awesome as parking is very difficult in chicago people work there are nice i would like to go there again and again,Pakistani restaurant,"[0.9976373910903931, 0.0023625707253813744]",negative
3,i wasnt impressed with the italian beef here,Italian restaurant,"[0.999001681804657, 0.000998332048766315]",negative
2,our waitress only took our order then we didnt see her until we asked for the bill and then she forgot to bring it to us so we had to ask her again food is ok,Mexican restaurant,"[0.764632523059845, 0.23536747694015503]",mixed
4,i had the wings at my visit at rebar indy and i will say they were very surprising i also had a mint chocolate chip adult milkshake with my wings that was also very good cool vibe and great prices with a small bar feeling good for a downtown lunch or an after work beer,Restaurant,"[0.006211088504642248, 0.9937888979911804]",positive
4,good food good service,Restaurant,"[0.02877991832792759, 0.9712200164794922]",positive
2,poor food and service,Cajun restaurant,"[0.9991324543952942, 0.0008676180150359869]",negative
4,slow,Hamburger restaurant,"[0.9945987462997437, 0.005401212722063065]",negative
2,they didnt even have their signature burgerno whoppers wtf,Fast food restaurant,"[0.9915784597396851, 0.008421482518315315]",negative
2,everything online says this location is open til 2am get to the drive thru at 119am wait a few minutes for someone to come over the speaker only to be told that the location closes at 1am even though all open lightssigns are on guy says its been 1am close time for three weeks now never again,Hamburger restaurant,"[0.9979696869850159, 0.002030346542596817]",negative
4,had to wait 15minutes for a table,Family restaurant,"[0.9584617614746094, 0.041538216173648834]",negative
2,we just dont understand why a place like this would not choose to donate the left over food at the end of the day as opposed to just throwing it away when we were finished eating we had a great deal of fat and grissel and the manager was more worried about charging us 13 for a carry out container to take it to our dog than he was about the fact that we were served something like that,Restaurant,"[0.9969558715820312, 0.0030441132839769125]",negative
2,walked in and was told to sit anywhere while she finished her personal phone call we had reservations so we had to look for our own table then they spelled our name wrong then i was rushed through ordering from a limited menu that was not mentioned when we made the reservation within the first 5 minutes i felt like leaving i was so cold by the time my food came i couldnt feel my fingers only good thing i got was my 1900 lobster tail mushrooms were cold like they just poured them out of the can steak was underdone huge disappointment  my server ignored me on all levels i wont ever be back i tipped my rude server 12 due to lack of doing her job,Restaurant,"[0.9948858618736267, 0.0051141660660505295]",negative
2,i brought my son and mother inlaw for a special occasion this past wednesday i was extremely disappointed to see the redemption areas shelves were mostly empty literally completely empty i drove an hour to get there just to watch my son who is on the autism spectrum have to process the fact that he cant win a prize for there is nothing on the shelves then we decided to take a break and have lunch there we stood there for over 15 minutes before being seated and it just got worse from there service was terrible and the sad part was there were only 4 tables occupied at the time i think we will start going elsewhere in the future there are other arcades that appreciate your business,Restaurant,"[0.9926508069038391, 0.0073492215014994144]",negative
4,always busy but kind friendly staff,Restaurant,"[0.9142560958862305, 0.08574384450912476]",negative
4,good chips and a good fajita steak,Restaurant,"[0.016700521111488342, 0.9832994341850281]",positive
4,good burgers low prices wish the had the club sandwich like central ohio does moved here and miss it,Breakfast restaurant,"[0.003193389158695936, 0.9968066215515137]",positive
3,good place to go and get lunch,American restaurant,"[0.01748264767229557, 0.9825173020362854]",positive
2,ok,Restaurant,"[0.6049923300743103, 0.3950076401233673]",mixed
4,for the midwest this is  really good mexican,Restaurant,"[0.05386750027537346, 0.9461324214935303]",positive
4,food great service was poor,Pizza restaurant,"[0.5168610215187073, 0.4831389784812927]",mixed
4,great selections of sandwiches and soups,Soup restaurant,"[0.0015120685566216707, 0.9984879493713379]",positive
2,just had a long wait in the drive thru,Restaurant,"[0.2892170548439026, 0.7107829451560974]",mixed
2,was not impressed at all first walked in and waited a few minutes to be seated even after workers looked at us and just stood talking needs updating food was not impressive have had better at other locally owned restaurants and even ihop,American restaurant,"[0.9996786117553711, 0.0003213881573174149]",negative
2,find some other place to eat long wait to order then waited over 50 min for food for 5 pp when the food did arrive our food was burnt and some was missing had to chase the waitress for refills and watched her give food away to other tables talked to manger and nothing was done,Family restaurant,"[0.9988911747932434, 0.0011088442988693714]",negative
3,too load food is good,Seafood restaurant,"[0.8418416976928711, 0.1581583172082901]",negative
3,food taste was good but they made a mess of my sandwich pork tenderloin the ketchup and mustard was inside and outside the sandwich  the person cooking was complaining about the number of people coming  and said he needed to help or the customers needed to stop coming in,Restaurant,"[0.9886367917060852, 0.011363182216882706]",negative
2,food was ok  service was terrible  had to ask for a drink and change after we paid the alarm on the door had a dead battery and had to listen to a whistle noise all through dinner super irritating date night,Southern restaurant (US),"[0.9732523560523987, 0.02674763649702072]",negative
2,they never make iced caramel mochas right here ,Restaurant,"[0.06372319161891937, 0.9362768530845642]",positive
4,in a close proximity to other fast service restaurants this rallys location offers some of the best combination values in the area  the wide variety of foods that can be paired to accommodate adult and children favorites really help stretch a limited budget,Hamburger restaurant,"[0.0017614866374060512, 0.9982385635375977]",positive
2,took too long over a hour and 30 mins waiting on a pizza order in,Pizza restaurant,"[0.9650657176971436, 0.034934286028146744]",negative
2,chicken over cooked poor service,Fast food restaurant,"[0.9967376589775085, 0.0032622774597257376]",negative
3,it was okay its a restaurant,Takeout Restaurant,"[0.801690399646759, 0.19830958545207977]",negative
4,amazing,Fast food restaurant,"[0.007555878721177578, 0.9924440979957581]",positive
4,enjoyed the location and the staff  food was good and good value wouldnt recommend the baking potato  everything else was great,Restaurant,"[0.005574810318648815, 0.9944251775741577]",positive
2,ok,Hamburger restaurant,"[0.6049923300743103, 0.3950076401233673]",mixed
